Invoice Number,Company Name,Contact Name,Contact Email,Invoice Date,Due Date,Amount,Tax,Total,Payment Status,Payment Method,Currency,Terms,Project,Account Manager,Notes
INV-2024000,Global Industries,Patricia Lewis,billing@globalindustries.com,2024-02-02,2024-03-03,"$40,036.00","$4,212.00","$27,001.00",Overdue,ACH,EUR,Net 30,Analytics Dashboard,Joseph Brown,Custom development work
INV-2024001,Elevate Solutions,William Clark,billing@elevatesolutions.com,2024-01-01,2024-01-31,"$27,986.00","$1,205.00","$46,864.00",Paid,PayPal,USD,Net 90,Marketing Automation,Daniel Lopez,Annual license renewal
INV-2024002,Catalyst Partners,William Martin,billing@catalystpartners.com,2024-02-08,2024-03-09,"$16,717.00",$763.00,"$41,307.00",Unpaid,Check,GBP,Net 60,API Gateway,Matthew Moore,Consulting services
INV-2024003,Strategic Partners,James Clark,billing@strategicpartners.com,2024-01-24,2024-02-23,"$41,070.00","$2,610.00","$5,130.00",Unpaid,Credit Card,USD,Net 30,Security Module,Charles Garcia,Custom development work
INV-2024004,Creative Solutions,Linda Thompson,billing@creativesolutions.com,2024-02-13,2024-03-14,"$27,705.00",$575.00,"$49,524.00",Unpaid,PayPal,USD,Net 90,Data Warehouse,Patricia Jackson,Consulting services
INV-2024005,Future Technologies,Mark Davis,billing@futuretechnologies.com,2024-02-03,2024-03-04,"$38,540.00",$982.00,"$14,632.00",Partial,ACH,USD,Net 30,Enterprise Suite Pro,David Moore,Annual license renewal
INV-2024006,Horizon Enterprises,Charles Jones,billing@horizonenterprises.com,2024-01-22,2024-02-21,"$37,175.00","$1,575.00","$13,919.00",Paid,PayPal,USD,Net 30,Mobile App,Lisa Perez,Annual license renewal
INV-2024007,TechCorp Solutions,Jessica Robinson,billing@techcorpsolutions.com,2024-01-28,2024-02-27,"$16,533.00","$3,562.00","$4,918.00",Unpaid,PayPal,CAD,Net 30,Mobile App,Nancy Sanchez,Annual license renewal
INV-2024008,Digital Dynamics,Patricia Thompson,billing@digitaldynamics.com,2024-01-11,2024-02-10,"$19,801.00","$2,571.00","$4,533.00",Paid,Credit Card,CAD,Net 60,Cloud Platform,Charles Williams,Annual license renewal
INV-2024009,Nexus Corporation,James Harris,billing@nexuscorporation.com,2024-02-06,2024-03-07,"$39,385.00","$4,480.00","$49,896.00",Partial,Credit Card,CAD,Net 90,Security Module,Christopher Anderson,Annual license renewal
